id,class,method,allPerm,dangerousPerm,permTag
11,android.app.ActivityManager,getProcessesInErrorState,DUMP;,,"
<p>As of <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#TIRAMISU"">Android TIRAMISU</a></code>, for regular apps
 this method will only return <code dir=""ltr"" translate=""no""><a href=""/reference/android/app/ActivityManager.ProcessErrorStateInfo"">ProcessErrorStateInfo</a></code> records for the processes running
 as the caller""s uid, unless the caller has the permission
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#DUMP"">Manifest.permission.DUMP</a></code>.
 </p>"
12,android.app.ActivityManager,killBackgroundProcesses,KILL_BACKGROUND_PROCESSES;,,"
<p>Have the system immediately kill all background processes associated
 with the given package.  This is the same as the kernel killing those
 processes to reclaim memory; the system will take care of restarting
 these processes in the future as needed.

 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#KILL_BACKGROUND_PROCESSES"">Manifest.permission.KILL_BACKGROUND_PROCESSES</a></code></p>"
13,android.app.ActivityManager,moveTaskToFront,REORDER_TASKS;,,"
<p>Ask that the task associated with a given task ID be moved to the
 front of the stack, so it is now visible to the user.

 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#REORDER_TASKS"">Manifest.permission.REORDER_TASKS</a></code></p>"
14,android.app.ActivityManager,moveTaskToFront,REORDER_TASKS;,,"
<p>Equivalent to calling <code dir=""ltr"" translate=""no""><a href=""/reference/android/app/ActivityManager#moveTaskToFront(int,%20int,%20android.os.Bundle)"">moveTaskToFront(int, int, android.os.Bundle)</a></code>
 with a null options argument.

 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#REORDER_TASKS"">Manifest.permission.REORDER_TASKS</a></code></p>"
15,android.app.AlarmManager,canScheduleExactAlarms,SCHEDULE_EXACT_ALARM;,,"
<p>
 Apps targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#S"">Build.VERSION_CODES#S</a></code> or higher can schedule exact alarms only if they
 have the <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#SCHEDULE_EXACT_ALARM"">Manifest.permission#SCHEDULE_EXACT_ALARM</a></code> permission or they are on the
 device""s power-save exemption list.
 These apps can also
 start <code dir=""ltr"" translate=""no""><a href=""/reference/android/provider/Settings#ACTION_REQUEST_SCHEDULE_EXACT_ALARM"">Settings.ACTION_REQUEST_SCHEDULE_EXACT_ALARM</a></code> to
 request this permission from the user.
 </p>"
16,android.app.AlarmManager,setAlarmClock,SCHEDULE_EXACT_ALARM;,,"
<p class=""note""><strong>Note:</strong>
 Starting with <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#S"">Build.VERSION_CODES#S</a></code>, apps targeting SDK level 31 or higher
 need to request the
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#SCHEDULE_EXACT_ALARM"">SCHEDULE_EXACT_ALARM</a></code> permission to use this
 API.
 The user and the system can revoke this permission via the special app access screen in
 Settings.

 </p>
<p class=""note""><strong>Note:</strong>
 Exact alarms should only be used for user-facing features.
 For more details, see <a href=""/about/versions/12/behavior-changes-12#exact-alarm-permission"">
 Exact alarm permission</a>.

 </p>
<p>Alarms scheduled via this API
 will be allowed to start a foreground service even if the app is in the background.

 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#SCHEDULE_EXACT_ALARM"">Manifest.permission.SCHEDULE_EXACT_ALARM</a></code></p>
<div>
      <p><b>See also:</b></p>
      <ul class=""nolist""><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/AlarmManager#set(int,%20long,%20android.app.PendingIntent)"">set(int, long, PendingIntent)</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/AlarmManager#setRepeating(int,%20long,%20long,%20android.app.PendingIntent)"">setRepeating(int, long, long, PendingIntent)</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/AlarmManager#setWindow(int,%20long,%20long,%20android.app.PendingIntent)"">setWindow(int, long, long, PendingIntent)</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/AlarmManager#setExact(int,%20long,%20android.app.PendingIntent)"">setExact(int, long, PendingIntent)</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/AlarmManager#cancel(android.app.AlarmManager.OnAlarmListener)"">cancel(AlarmManager.OnAlarmListener)</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/AlarmManager#getNextAlarmClock()"">getNextAlarmClock()</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/content/Context#sendBroadcast(android.content.Intent)"">Context.sendBroadcast(Intent)</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/content/Context#registerReceiver(android.content.BroadcastReceiver,%20android.content.IntentFilter)"">Context.registerReceiver(BroadcastReceiver, IntentFilter)</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/content/Intent#filterEquals(android.content.Intent)"">Intent.filterEquals(Intent)</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#SCHEDULE_EXACT_ALARM"">SCHEDULE_EXACT_ALARM</a></code></li>
      </ul>
  </div>"
17,android.app.AlarmManager,setExact,SCHEDULE_EXACT_ALARM;,,"
<p class=""note""><strong>Note:</strong>
 Starting with <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#S"">Build.VERSION_CODES#S</a></code>, apps targeting SDK level 31 or higher
 need to request the
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#SCHEDULE_EXACT_ALARM"">SCHEDULE_EXACT_ALARM</a></code> permission to use this
 API, unless the app is exempt from battery restrictions.
 The user and the system can revoke this permission via the special app access screen in
 Settings.

 </p>
<p class=""note""><strong>Note:</strong>
 Exact alarms should only be used for user-facing features.
 For more details, see <a href=""/about/versions/12/behavior-changes-12#exact-alarm-permission"">
 Exact alarm permission</a>.</p>
<div>
      <p><b>See also:</b></p>
      <ul class=""nolist""><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/AlarmManager#set(int,%20long,%20android.app.PendingIntent)"">set(int, long, PendingIntent)</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/AlarmManager#setRepeating(int,%20long,%20long,%20android.app.PendingIntent)"">setRepeating(int, long, long, PendingIntent)</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/AlarmManager#setWindow(int,%20long,%20long,%20android.app.PendingIntent)"">setWindow(int, long, long, PendingIntent)</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/AlarmManager#cancel(android.app.AlarmManager.OnAlarmListener)"">cancel(AlarmManager.OnAlarmListener)</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/content/Context#sendBroadcast(android.content.Intent)"">Context.sendBroadcast(Intent)</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/content/Context#registerReceiver(android.content.BroadcastReceiver,%20android.content.IntentFilter)"">Context.registerReceiver(BroadcastReceiver, IntentFilter)</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/content/Intent#filterEquals(android.content.Intent)"">Intent.filterEquals(Intent)</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/AlarmManager#ELAPSED_REALTIME"">ELAPSED_REALTIME</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/AlarmManager#ELAPSED_REALTIME_WAKEUP"">ELAPSED_REALTIME_WAKEUP</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/AlarmManager#RTC"">RTC</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/AlarmManager#RTC_WAKEUP"">RTC_WAKEUP</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#SCHEDULE_EXACT_ALARM"">SCHEDULE_EXACT_ALARM</a></code></li>
      </ul>
  </div>"
18,android.app.AlarmManager,setExact,SCHEDULE_EXACT_ALARM;,,"
<p class=""note""><strong>Note:</strong>
 Starting with <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#S"">Build.VERSION_CODES#S</a></code>, apps targeting SDK level 31 or higher
 need to request the
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#SCHEDULE_EXACT_ALARM"">SCHEDULE_EXACT_ALARM</a></code> permission to use this
 API, unless the app is exempt from battery restrictions.
 The user and the system can revoke this permission via the special app access screen in
 Settings.

 </p>
<p class=""note""><strong>Note:</strong>
 Exact alarms should only be used for user-facing features.
 For more details, see <a href=""/about/versions/12/behavior-changes-12#exact-alarm-permission"">
 Exact alarm permission</a>.</p>
<div>
      <p><b>See also:</b></p>
      <ul class=""nolist""><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#SCHEDULE_EXACT_ALARM"">SCHEDULE_EXACT_ALARM</a></code></li>
      </ul>
  </div>"
19,android.app.AlarmManager,setExactAndAllowWhileIdle,SCHEDULE_EXACT_ALARM;,,"
<p class=""note""><strong>Note:</strong>
 Starting with <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#S"">Build.VERSION_CODES#S</a></code>, apps targeting SDK level 31 or higher
 need to request the
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#SCHEDULE_EXACT_ALARM"">SCHEDULE_EXACT_ALARM</a></code> permission to use this
 API, unless the app is exempt from battery restrictions.
 The user and the system can revoke this permission via the special app access screen in
 Settings.

 </p>
<p class=""note""><strong>Note:</strong>
 Exact alarms should only be used for user-facing features.
 For more details, see <a href=""/about/versions/12/behavior-changes-12#exact-alarm-permission"">
 Exact alarm permission</a>.

 </p>
<div>
      <p><b>See also:</b></p>
      <ul class=""nolist""><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/AlarmManager#set(int,%20long,%20android.app.PendingIntent)"">set(int, long, PendingIntent)</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/AlarmManager#setRepeating(int,%20long,%20long,%20android.app.PendingIntent)"">setRepeating(int, long, long, PendingIntent)</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/AlarmManager#setWindow(int,%20long,%20long,%20android.app.PendingIntent)"">setWindow(int, long, long, PendingIntent)</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/AlarmManager#cancel(android.app.AlarmManager.OnAlarmListener)"">cancel(AlarmManager.OnAlarmListener)</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/content/Context#sendBroadcast(android.content.Intent)"">Context.sendBroadcast(Intent)</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/content/Context#registerReceiver(android.content.BroadcastReceiver,%20android.content.IntentFilter)"">Context.registerReceiver(BroadcastReceiver, IntentFilter)</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/content/Intent#filterEquals(android.content.Intent)"">Intent.filterEquals(Intent)</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/AlarmManager#ELAPSED_REALTIME"">ELAPSED_REALTIME</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/AlarmManager#ELAPSED_REALTIME_WAKEUP"">ELAPSED_REALTIME_WAKEUP</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/AlarmManager#RTC"">RTC</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/app/AlarmManager#RTC_WAKEUP"">RTC_WAKEUP</a></code></li><li><code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#SCHEDULE_EXACT_ALARM"">SCHEDULE_EXACT_ALARM</a></code></li>
      </ul>
  </div>"
20,android.app.AlarmManager,setTime,SET_TIME;,,"
<p>Set the system wall clock time.
 Requires the permission android.permission.SET_TIME.

 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#SET_TIME"">Manifest.permission.SET_TIME</a></code></p>"
21,android.app.AlarmManager,setTimeZone,SET_TIME;SET_TIME_ZONE;,,"
<p> On android M and above, it is an error to pass in a non-Olson timezone to this
 function. Note that this is a bad idea on all Android releases because POSIX and
 the <code dir=""ltr"" translate=""no"">TimeZone</code> class have opposite interpretations of <code dir=""ltr"" translate=""no"">""+""</code> and <code dir=""ltr"" translate=""no"">""-""</code>
 in the same non-Olson ID.

 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#SET_TIME_ZONE"">Manifest.permission.SET_TIME_ZONE</a></code></p>"
22,android.app.DownloadManager.Request,setDestinationInExternalPublicDir,WRITE_EXTERNAL_STORAGE;,WRITE_EXTERNAL_STORAGE;,"
<p> For applications targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#Q"">Build.VERSION_CODES.Q</a></code> or above,
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#WRITE_EXTERNAL_STORAGE"">WRITE_EXTERNAL_STORAGE</a></code>
 permission is not needed and the <code dir=""ltr"" translate=""no"">dirType</code> must be one of the known public
 directories like <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Environment#DIRECTORY_DOWNLOADS"">Environment#DIRECTORY_DOWNLOADS</a></code>,
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Environment#DIRECTORY_PICTURES"">Environment#DIRECTORY_PICTURES</a></code>, <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Environment#DIRECTORY_MOVIES"">Environment#DIRECTORY_MOVIES</a></code>, etc.</p>"
23,android.app.DownloadManager.Request,setDestinationUri,WRITE_EXTERNAL_STORAGE;,WRITE_EXTERNAL_STORAGE;,"
<p>Set the local destination for the downloaded file. Must be a file URI to a path on
 external storage, and the calling application must have the WRITE_EXTERNAL_STORAGE
 permission.
 </p>
<p> For applications targeting <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Build.VERSION_CODES#Q"">Build.VERSION_CODES.Q</a></code> or above,
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#WRITE_EXTERNAL_STORAGE"">WRITE EXTERNAL_STORAGE</a></code>
 permission is not needed and the <code dir=""ltr"" translate=""no"">uri</code> must refer to a path within the
 directories owned by the application (e.g. <code dir=""ltr"" translate=""no""><a href=""/reference/android/content/Context#getExternalFilesDir(java.lang.String)"">Context#getExternalFilesDir(String)</a></code>)
 or a path within the top-level Downloads directory (as returned by
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Environment#getExternalStoragePublicDirectory(java.lang.String)"">Environment#getExternalStoragePublicDirectory(String)</a></code> with
 <code dir=""ltr"" translate=""no""><a href=""/reference/android/os/Environment#DIRECTORY_DOWNLOADS"">Environment#DIRECTORY_DOWNLOADS</a></code>).</p>"
24,android.app.KeyguardManager,exitKeyguardSecurely,DISABLE_KEYGUARD;,,"
<p class=""caution""><strong>
      This method was deprecated
      in API level 15.</strong><br/>
    Use <code dir=""ltr"" translate=""no""><a href=""/reference/android/view/WindowManager.LayoutParams#FLAG_DISMISS_KEYGUARD"">LayoutParams#FLAG_DISMISS_KEYGUARD</a></code>
   and/or <code dir=""ltr"" translate=""no""><a href=""/reference/android/view/WindowManager.LayoutParams#FLAG_SHOW_WHEN_LOCKED"">LayoutParams#FLAG_SHOW_WHEN_LOCKED</a></code>
   instead; this allows you to seamlessly hide the keyguard as your application
   moves in and out of the foreground and does not require that any special
   permissions be requested.
  </p>
<p>Exit the keyguard securely.  The use case for this api is that, after
 disabling the keyguard, your app, which was granted permission to
 disable the keyguard and show a limited amount of information deemed
 safe without the user getting past the keyguard, needs to navigate to
 something that is not safe to view without getting past the keyguard.

 This will, if the keyguard is secure, bring up the unlock screen of
 the keyguard.

 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#DISABLE_KEYGUARD"">Manifest.permission.DISABLE_KEYGUARD</a></code></p>"
25,android.app.KeyguardManager.KeyguardLock,disableKeyguard,DISABLE_KEYGUARD;,,"
<p>Disable the keyguard from showing.  If the keyguard is currently
 showing, hide it.  The keyguard will be prevented from showing again
 until <code dir=""ltr"" translate=""no""><a href=""/reference/android/app/KeyguardManager.KeyguardLock#reenableKeyguard()"">reenableKeyguard()</a></code> is called.

 A good place to call this is from <code dir=""ltr"" translate=""no""><a href=""/reference/android/app/Activity#onResume()"">Activity.onResume()</a></code>

 Note: This call has no effect while any <code dir=""ltr"" translate=""no""><a href=""/reference/android/app/admin/DevicePolicyManager"">DevicePolicyManager</a></code>
 is enabled that requires a password.

 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#DISABLE_KEYGUARD"">Manifest.permission.DISABLE_KEYGUARD</a></code></p>"
26,android.app.KeyguardManager.KeyguardLock,reenableKeyguard,DISABLE_KEYGUARD;,,"
<p>Reenable the keyguard.  The keyguard will reappear if the previous
 call to <code dir=""ltr"" translate=""no""><a href=""/reference/android/app/KeyguardManager.KeyguardLock#disableKeyguard()"">disableKeyguard()</a></code> caused it to be hidden.

 A good place to call this is from <code dir=""ltr"" translate=""no""><a href=""/reference/android/app/Activity#onPause()"">Activity.onPause()</a></code>

 Note: This call has no effect while any <code dir=""ltr"" translate=""no""><a href=""/reference/android/app/admin/DevicePolicyManager"">DevicePolicyManager</a></code>
 is enabled that requires a password.

 <br/>
 Requires <code dir=""ltr"" translate=""no""><a href=""/reference/android/Manifest.permission#DISABLE_KEYGUARD"">Manifest.permission.DISABLE_KEYGUARD</a></code></p>"
